symbol,arm64_file,arm64_line,commit_hash,commit_title,commit_url,patch_url,trace_status
ARM64_ERRATUM_2658417,arch/arm64/Kconfig,858,1bdb0fbb2e27c51a6f311867726462c983a1d9ee,arm64: errata: remove BF16 HWCAP due to incorrect result on Cortex-A510,https://git.kernel.org/torvalds/c/1bdb0fbb2e27c51a6f311867726462c983a1d9ee,https://git.kernel.org/torvalds/c/1bdb0fbb2e27c51a6f311867726462c983a1d9ee.patch,ok
ARM64_ERRATUM_2966298,arch/arm64/Kconfig,1090,471470bc7052d28ce125901877dd10e4c048e513,arm64: errata: Add Cortex-A520 speculative unprivileged load workaround,https://git.kernel.org/torvalds/c/471470bc7052d28ce125901877dd10e4c048e513,https://git.kernel.org/torvalds/c/471470bc7052d28ce125901877dd10e4c048e513.patch,ok
ARM64_ERRATUM_3117295,arch/arm64/Kconfig,1104,f827bcdafa2a2ac21c91e47f587e8d0c76195409,arm64: errata: Add Cortex-A510 speculative unprivileged load workaround,https://git.kernel.org/torvalds/c/f827bcdafa2a2ac21c91e47f587e8d0c76195409,https://git.kernel.org/torvalds/c/f827bcdafa2a2ac21c91e47f587e8d0c76195409.patch,ok
ARM64_ERRATUM_3194386,arch/arm64/Kconfig,1118,7187bb7d0b5c7dfa18ca82e9e5c75e13861b1d88,arm64: errata: Add workaround for Arm errata 3194386 and 3312417,https://git.kernel.org/torvalds/c/7187bb7d0b5c7dfa18ca82e9e5c75e13861b1d88,https://git.kernel.org/torvalds/c/7187bb7d0b5c7dfa18ca82e9e5c75e13861b1d88.patch,ok
ARM64_ERRATUM_4311569,arch/arm64/Kconfig,1159,3fed7e0059f0af1d0e71e165145a1e3030526835,arm64: errata: Workaround for SI L1 downstream coherency issue,https://git.kernel.org/torvalds/c/3fed7e0059f0af1d0e71e165145a1e3030526835,https://git.kernel.org/torvalds/c/3fed7e0059f0af1d0e71e165145a1e3030526835.patch,ok
ARM64_ERRATUM_819472,arch/arm64/Kconfig,560,c0a01b84b1fdbd98bff5bca5b201fe73fda7e9d9,arm64: protect alternatives workarounds with Kconfig options,https://git.kernel.org/torvalds/c/c0a01b84b1fdbd98bff5bca5b201fe73fda7e9d9,https://git.kernel.org/torvalds/c/c0a01b84b1fdbd98bff5bca5b201fe73fda7e9d9.patch,ok
ARM64_ERRATUM_824069,arch/arm64/Kconfig,537,c0a01b84b1fdbd98bff5bca5b201fe73fda7e9d9,arm64: protect alternatives workarounds with Kconfig options,https://git.kernel.org/torvalds/c/c0a01b84b1fdbd98bff5bca5b201fe73fda7e9d9,https://git.kernel.org/torvalds/c/c0a01b84b1fdbd98bff5bca5b201fe73fda7e9d9.patch,ok
ARM64_ERRATUM_826319,arch/arm64/Kconfig,493,c0a01b84b1fdbd98bff5bca5b201fe73fda7e9d9,arm64: protect alternatives workarounds with Kconfig options,https://git.kernel.org/torvalds/c/c0a01b84b1fdbd98bff5bca5b201fe73fda7e9d9,https://git.kernel.org/torvalds/c/c0a01b84b1fdbd98bff5bca5b201fe73fda7e9d9.patch,ok
ARM64_ERRATUM_827319,arch/arm64/Kconfig,515,c0a01b84b1fdbd98bff5bca5b201fe73fda7e9d9,arm64: protect alternatives workarounds with Kconfig options,https://git.kernel.org/torvalds/c/c0a01b84b1fdbd98bff5bca5b201fe73fda7e9d9,https://git.kernel.org/torvalds/c/c0a01b84b1fdbd98bff5bca5b201fe73fda7e9d9.patch,ok
ARM64_ERRATUM_832075,arch/arm64/Kconfig,582,c0a01b84b1fdbd98bff5bca5b201fe73fda7e9d9,arm64: protect alternatives workarounds with Kconfig options,https://git.kernel.org/torvalds/c/c0a01b84b1fdbd98bff5bca5b201fe73fda7e9d9,https://git.kernel.org/torvalds/c/c0a01b84b1fdbd98bff5bca5b201fe73fda7e9d9.patch,ok
ARM64_ERRATUM_834220,arch/arm64/Kconfig,600,498cd5c32be6e32bc0f8efcad48ab094bb2bfdf3,arm64: KVM: Add workaround for Cortex-A57 erratum 834220,https://git.kernel.org/torvalds/c/498cd5c32be6e32bc0f8efcad48ab094bb2bfdf3,https://git.kernel.org/torvalds/c/498cd5c32be6e32bc0f8efcad48ab094bb2bfdf3.patch,ok
ARM64_ERRATUM_843419,arch/arm64/Kconfig,657,df057cc7b4fa59e9b55f07ffdb6c62bf02e99a00,arm64: errata: add module build workaround for erratum #843419,https://git.kernel.org/torvalds/c/df057cc7b4fa59e9b55f07ffdb6c62bf02e99a00,https://git.kernel.org/torvalds/c/df057cc7b4fa59e9b55f07ffdb6c62bf02e99a00.patch,ok
ARM64_ERRATUM_845719,arch/arm64/Kconfig,636,905e8c5dcaa147163672b06fe9dcb5abaacbc711,arm64: errata: add workaround for cortex-a53 erratum #845719,https://git.kernel.org/torvalds/c/905e8c5dcaa147163672b06fe9dcb5abaacbc711,https://git.kernel.org/torvalds/c/905e8c5dcaa147163672b06fe9dcb5abaacbc711.patch,ok
